Unnamed: 0,food_entity,disease_entity,sentence,disease_doid,is_cause,is_treat
1,ultra-processed food,obesity,"Ultra-processed food consumption has been associated with several health outcomes such as obesity, hypertension, cardiovascular disease and cancer.",DOID:9970,1.0,0.0
2,salt,osteoporosis,"Salt has notoriously been blamed for causing an increase in the urinary excretion of calcium, and thus is a considered a risk factor for osteoporosis.",DOID:11476,1.0,0.0
8,wheat,allergic reactions,Wheat is one of the five most common foods that trigger allergic reactions in children.,,1.0,0.0
15,excessive consumption of red meat,coronary heart diseases,Excessive consumption of red meat is associated with various diseases including coronary heart diseases and cancer.,DOID:3393,1.0,0.0
17,milk,cardiovascular disease,"Milk and dairy products containing milk fat are major food sources of saturated fatty acids, which have been linked to increased risk of cardiovascular-related clinical outcomes such as cardiovascular disease (CVD), coronary heart disease (CHD), and stroke.",,1.0,0.0
29,garlic,heinz body hemolytic anemia,", including garlic (A. sativum) and onions (A. cepa), are known to be oxidatively toxic to canine erythrocytes resulting in Heinz body hemolytic anemia in dogs.",DOID:583,1.0,0.0
30,less healthy diet,asthma,"We observed a significant positive association between less healthy diet, as expressed by higher FSAm-NPS DI, and the asthma symptom score.",DOID:2841,1.0,0.0
34,sodium,chronic kidney disease,"Current dietary guidelines recommend that patients with chronic kidney disease (CKD) restrict individual nutrients, such as sodium, potassium, phosphorus, and protein.",DOID:784,1.0,0.0
41,rice,allergic reactions,Allergen Glb33 is an important allergen in rice that can cause allergic reactions such as asthma and atopic dermatitis.,,1.0,0.0
42,flour,respiratory allergy,"Out of the 314 subjects tested, 22 (7%) had a respiratory allergy against flour (flour rhinitis and/or flour asthma), and 21 (6.7%) a preexistent atopic disease without actual symptoms of flour allergy.",DOID:0060496,1.0,0.0
43,flour dust,respiratory diseases,"For decades, occupational exposure to flour dust has been linked to a range of respiratory diseases, including occupational asthma, thought to result from exposure to fungi present in the flour.",,1.0,0.0
46,mediterranean diet,myocardial infarction,The Mediterranean diet (MD) affects the risk of myocardial infarction and long-term prognosis after a coronary event.,DOID:5844,1.0,0.0
50,processed meats,hypertension,"However, liquid UPF and processed meats were associated with increased rate of hypertension (IRR: 1.32; 95%CI:1.10,1.65; IRR: 1.17; 95%CI:1.01,1.36; respectively).",DOID:10763,1.0,0.0
55,salt,ad,"Diets characterized by high intakes of refined sugars, salt, animal-derived proteins and fats and by low intakes of fruit and vegetables are associated with a higher risk of AD and can perturb the circadian modulation of cortisol secretion, which is associated with poor sleep quality.",,1.0,0.0
64,ultra-processed foods,noncommunicable chronic diseases,Processed and ultra-processed foods (UPF) consumption has been associated with development of noncommunicable chronic diseases (NCD).,,1.0,0.0
68,meat,coronary heart disease,"Regular intake of foods rich in saturated fats, such as meat and certain dairy products, raises the risk of coronary heart disease, especially in smokers.",DOID:3393,1.0,0.0
69,milk,respiratory complications,"It is suggested that recurrent inhalation of milk and food, consequent upon disordered oesophageal motility, is the major factor causing these respiratory complications.",,1.0,0.0
79,blueberries,g6pd) deficiency,"However, there is evidence in the literature stating that blueberries should be avoided in individuals with glucose-6-phosphate dehydrogenase (G6PD) deficiency.",,1.0,0.0
82,high-calorie diet,obesity,A high-calorie diet (HCD) induces two mutually exacerbating effects contributing to diet-induced obesity (DIO): impaired glucose metabolism and increased food consumption.,DOID:9970,1.0,0.0
84,unhealthy diet,malnutrition,"Many Small Island Developing States of the Caribbean experience a triple burden of malnutrition with high rates of obesity, undernutrition in children, and iron deficiency anemia in women of reproductive age, driven by an inadequate, unhealthy diet.",,1.0,0.0
86,tobacco,bladder cancer,Tobacco smoking and occupational exposure to aromatic amines are the two major established environmental risk factors for bladder cancer.,DOID:11054,1.0,0.0
88,peanut,intestinal anaphylaxis,Activation of the steroidogenic enzyme CYP11A1 was shown to be necessary for the development of peanut-induced intestinal anaphylaxis and IL-13 production in allergic mice.,,1.0,0.0
96,alcoholics,osteopenia,Osteopenia or osteoporosis occurs frequently in alcoholics and patients with alcoholic fatty liver disease.,,1.0,0.0
99,sugar,caries,"Many diseases, including caries, chronic inflammatory diseases, diabetes, and obesity, are associated with uncontrolled sugar consumption.",,1.0,0.0
105,tofu,dementia,"In older people in Indonesia, Hawai'i and China, tofu, which can contain high levels of phytoestrogens, was found to increase dementia risk.",DOID:1307,1.0,0.0
118,salt,death and disability,Diets high in salt are a leading risk for death and disability globally.,,1.0,0.0
128,shrimp,allergy,"In 2.8% of the control group, the ISAC-test failed to detect an allergy sensitization caused by dust mite, shrimp, Anisakis, or seed storage proteins.",,1.0,0.0
133,fig,allergy,We describe the first case of fig allergy that occurred as a cross-reactivity between fig and Derp 1.,,1.0,0.0
145,fat and high-calorie foods,obesity,"Also, excessive intake of fat and high-calorie foods is also related to the development of obesity, which contributes to the development of CVD.",DOID:9970,1.0,0.0
149,diet,hypercholesterolemia,"Hypercholesterolemia, also called high cholesterol, is a form of hyperlipidemia, which may be a consequence of diet, obesity or diabetes.",,1.0,0.0
153,high protein diets ,bone loss,"High protein diets are believed to cause kidney stone formation and bone loss, but the mechanisms mediating these changes are unknown.",,1.0,0.0
157,almond,allergy,Oral food challenges have demonstrated that diagnosis of almond allergy based on extract-sIgE tests display low specificity.,,1.0,0.0
159,ammonia,respiratory symptoms,"High endotoxin, ammonia, and dust levels contribute to acute and chronic respiratory symptoms in people who work in these settings.",,1.0,0.0
162,trigonella foenum-graecum,hypoglycemic,"Trigonella foenum-graecum (fenugreek) has been reported to have hypoglycemic, hypocholesterolemic, hyperinsulinemic and anti-diabetic properties.",,1.0,0.0
165,processed meat,type ii diabetes,"The intake of processed meat has been associated with several adverse health outcomes such as type II diabetes and cancer; however, the mechanisms are not fully understood.",DOID:9352,1.0,0.0
168,fruits,allergies,"Recently, the prevalence of food allergies during childhood is increasing, with fruits being common allergens.",,1.0,0.0
169,cigarette smoke,neurological diseases,"Exposure to cigarette smoke (CS) is associated with an increased risk of several neurological diseases such as stroke, Alzheimer's disease, and dementia.",,1.0,0.0
170,ultra-processed products ( up ),arterial hypertension,"The consumption of ultra-processed products (UP) is associated with many diseases in the adult, such as arterial hypertension, diabetes, or asthma.",,1.0,0.0
171,salt,cerebrovascular disease,"The decreasing mortality rates from cerebrovascular disease are thought to reflect the increases in animal foods, milk, and dairy products and consequently in saturated fatty acids and calcium, together with a decrease in salt intake which may have led to a decrease in blood pressure.",DOID:6713,1.0,0.0
174,nickel,allergy,Nickel is the most common cause of contact allergy in the general population and the most frequently detected allergen in patients patch tested for suspected allergic contact dermatitis (ACD).,,1.0,0.0
176,allium sativa ( garlic ),intra vascularhaemolytic anaemia,"Despite the high acceptability of Allium sativa (Garlic) as a remedy for many diseases as earlier stated by manyresearchers, previous studies have shown that chronic and unregulated consumption of garlic may result to intra vascularhaemolytic anaemia in rats.",DOID:2355,1.0,0.0
178,low diet quality,micronutrient malnutrition,Low diet quality is a driver of general and micronutrient malnutrition in urban and rural areas.,,1.0,0.0
179,certain foods,obesity,"Portion sizes for certain foods have been increasing dramatically in recent years alongside obesity rates, concurring with the phenomenon of the portion size effect (more is consumed when more is offered).",DOID:9970,1.0,0.0
182,peanut,allergies,The characteristics of tree nuts (TNs) and peanut (PN) allergies vary in different regions of the world.,,1.0,0.0
183,dairy products,cardiometabolic diseases,Dairy products contain both beneficial and harmful nutrients in relation to cardiometabolic diseases.,,1.0,1.0
184,wheat,food allergy,"Food allergy is a common disease caused by the intake of allergen-containing foods, such as milk, eggs, peanuts, and wheat.",,1.0,0.0
192,buckwheat flour,allergy to buckwheat,"Three cooks, two bakers, and a worker in a grocery store were occupationally exposed to buckwheat flour and developed immediate allergy to buckwheat, which was confirmed by skin prick testing and measurement of specific immunoglobulin E antibodies.",,1.0,0.0
201,walnut,allergic reactions,"Jug r 1, the major allergen of walnut, triggers severe allergic reactions through epitopes.",,1.0,0.0
208,cigarette smoke,heart disease,"Cigarette smoke (CS) causes about 480,000 deaths each year worldwide and is well-known to have harmful effects on the human body, leading to heart disease, stroke, lung cancer, and cardiovascular problems.",DOID:114,1.0,0.0
218,high carbohydrate diets,nephrolithiasis,"Based on these observations, some investigators believe that long term intake of high carbohydrate diets may increase the risk of nephrolithiasis and possibly osteoporosis.",DOID:585,1.0,0.0
219,sugar,ad,"The origin of AD is multifactorial, and many metabolic disorders originating from overconsumption of fat, cholesterol, and sugar are associated with higher risk of AD later in life.",,1.0,0.0
220,bread,glycemic,"Bread is a staple food for majority of the people worldwide, but it has a high glycemic effect.",,1.0,0.0
221,calcium,hypercalciuria,"Although calcium supplementation can cause hypercalciuria, the risk of nephrolithiasis has been shown to decrease rather than increase among subjects who had a higher calcium intake.",,1.0,0.0
224,malnutrition,cardiovascular disease,"Malnutrition is a condition most commonly arising from the inadequate consumption of nutrients necessary to maintain physiological health and is associated with the development of cardiovascular disease, osteoporosis, and sarcopenia.",,1.0,0.0
227,millet,urinary tract stones,"The predominant urinary tract stones in the tribal Satpura belt are bladder stones and may be related to poor nutrition, low socioeconomic status and consumption of bajra (millet) as staple food as found in this region (93.5%).",,1.0,0.0
230,eggs,allergic reaction,"Eggs and their derived products are common foods that can induce food allergic reaction, especially in children.",,1.0,0.0
237,milk,allergies,"Allergies to peanuts are particularly worrisome as unlike allergies to other allergenic foods, such as milk and egg, which are commonly outgrown by 5 or 10 years of age, 80% of peanut allergies persist into adulthood.",,1.0,0.0
243,wheat,baker's rhinitis,Baker's rhinitis is a kind of occupational allergic rhinitis mainly caused by intranasal exposure to wheat and/or rye flour in bakery workers.,,1.0,0.0
245,cereals,hypersensitivity,Hypersensitivity to cereals may occur via inhalation or ingestion.,DOID:1205,1.0,0.0
255,dietary sugar,dental caries,"Dietary sugar, especially in liquid form, increases risk of dental caries, adiposity, and type 2 diabetes.",DOID:216,1.0,0.0
260,aerosolized crab allergens,asthma,Aerosolized crab allergens are suspected etiologic agents for asthma among crab-processing workers.,DOID:2841,1.0,0.0
263,flour,occupational diseases,Bakers are exposed daily to flour and may be susceptible to immunologic occupational diseases.,,1.0,0.0
266,chemotherapy drugs,hypersensitivity,"New symptoms of hypersensitivity caused by chemotherapy drugs, monoclonal antibodies, and biological agents have been suggested to be recognized as anaphylaxis phenotypes.",DOID:1205,1.0,0.0
280,food additives,senile dementia of alzheimer 's type,"Aluminum is a constituent of antacids, deodorants, kitchenware and food additives which allows easy access into the body posing risk to development of senile dementia of Alzheimer's type.",,1.0,0.0
289,flour,asthma,Asthma could be induced by inhaled flour or by exposure to allergens present in bakery products.,DOID:2841,1.0,0.0
290,processed foods,autoimmune diseases,"Among these, dietary habits, and especially an excessive salt, typical of processed foods, has been implicated in the development of autoimmune diseases.",DOID:417,1.0,0.0
292,wheat,coeliac disease,"Wheat is one of the major crops grown, processed and consumed by humankind and is associated with both intolerances (notably coeliac disease) and allergies.",DOID:10608,1.0,0.0
294,salt,calcium oxalate urolithiasis,Dietary excesses in animal protein and/or salt have been implicated as risk factors in calcium oxalate urolithiasis.,DOID:0080653,1.0,0.0
301,wheat,baker's asthma,"Wheat is a potent allergen source and is one of the causes of baker's asthma, food and pollen allergy.",,1.0,0.0
304,high fructose corn syrup sweetened soft drink ,asthma,High fructose corn syrup (HFCS) sweetened soft drink intake has been linked with asthma in US high-schoolers.,DOID:2841,1.0,0.0
306,onion,dermatitis,"Onion (Allium cepa) handling can induce contact dermatitis, rhinoconjunctivitis and asthma.",DOID:2723,1.0,0.0
310,food additives,foodallergies,"The article presents data on causally significant food allergens and food additives that cause the development of food allergies, as well as information on the main food proteins and their components involved in the formation of cross-reactivity.",,1.0,0.0
312,very-low-cho diets,weight loss,"Historically, low-carbohydrate (CHO) and very-low-CHO diets have been used for weight loss.",,1.0,0.0
313,fava beans,haemotoxicity,"Fava beans (FBs) have long been used as food, and their principal disadvantage is derived from their haemotoxicity.",,1.0,0.0
316,mustard,allergies,"Peanuts and nuts cause a great part of allergies in the United States; in Spain and Portugal are commonly due to fish, milk; in Italy seafood and mustard in France.",,1.0,0.0
317,peanut,anaphylaxis,Peanut allergy affects 3% of Australian children and has a higher risk of anaphylaxis than most food allergies.,,1.0,0.0
323,pistachio,allergic reactions,"Pistachio and cashew nut, which belong to the same botanical family, are tree nuts that induce serious allergic reactions.",,1.0,0.0
325,cabbage,migraine attacks,"Migraine attacks have been produced most frequently by cow milk (in 10 out of 17 patients), cabbage, flour and eggs in 5 patients, preservatives, cottage and Swiss cheese, porcine meat in 4 patients, colorants and chocolate in 3 patients, beef, strawberries, lemons and butter in 2 patients.",,1.0,0.0
327,pistachio,allergic,"Pistachio and cashew contain allergenic proteins, which causes them to be removed from the diet of allergic people.",,1.0,0.0
328,glycemic load (gl) diet,cardiovascular mortality,Recent epidemiologic studies have found that a high glycemic index (GI) and glycemic load (GL) diet are associated with a higher risk for metabolic complications and cardiovascular mortality.,,1.0,0.0
334,"salt (sodium chloride, nacl)",moisture loss,"Salt (sodium chloride, NaCl) is commonly used in ready-to-eat (RTE) meat products such as biltong, a South African style dried beef product for flavor, enhanced moisture loss, and reduction of microbial growth.",,1.0,0.0
340,garlic,hemolytic anemia,"We recently identified sodium n-propyl thiosulfate (NPTS) and sodium 2-propenyl thiosulfate (2PTS) from boiled onion and garlic, respectively, as causative agents of hemolytic anemia in dogs.",DOID:583,1.0,0.0
343,sugar,osteoporosis,"However, the other ubiquitous white crystal, sugar, may lead to osteoporosis by increasing inflammation, hyperinsulinemia, increased renal acid load, reduced calcium intake, and increased urinary calcium excretion.",DOID:11476,1.0,0.0
346,calorie-dense diet,obesity,Calorie-dense diet is a main driver of the global epidemics of obesity and type 2 diabetes (T2DM).,DOID:9970,1.0,0.0
350,food rich in saturated fat,chd,"The basis of this recommendation is the 'diet-heart hypothesis', which postulates that consumption of food rich in saturated fat increases serum cholesterol levels, which increases risk of CHD.",,1.0,0.0
352,drugs,cutis laxa,"In most cases, acquired cutis laxa is associated with neoplasms, drugs, and autoimmune diseases.",DOID:3144,1.0,0.0
354,antiepileptic drugs,epilepsy,Adults aged 50 years and older with epilepsy face an increased risk of fracture associated both with age and with the use of antiepileptic drugs.,DOID:1826,1.0,0.0
357,meat protein,heart disease,Meat protein is associated with an increase in risk of heart disease.,DOID:114,1.0,0.0
358,protein-containing dust,respiratory diseases,Influence of protein-containing dust on the workers results in respiratory diseases.,,1.0,0.0
359,sucrose,hyperuricaemia,"In addition to sucrose and high fructose corn syrup, fresh fruits also contain fructose, suggesting that patients with hyperuricaemia or gout might also avoid fresh fruit.",,1.0,0.0
365,diets with high fat and carbohydrate content ,obesity,"Among other factors, diets with high fat and carbohydrate content have been implicated in obesity.",DOID:9970,1.0,0.0
367,milk,ovarian carcinoma,The intake of milk and milk products could increase the risk of ovarian carcinoma.,DOID:4001,1.0,0.0
369,poor diet,obesity,"Poor diet is responsible for more deaths worldwide than any other risk factor, and is a leading cause of obesity, type 2 diabetes, and cardiovascular disease (CVD).",DOID:9970,1.0,0.0
370,cow's milk protein,allergy,"Cow's milk protein allergy, which occurs in approximately 5-10% of the population of infants and children, has become an important public food safety problem.",,1.0,0.0
384,steroids,gastrointestinal perforation,"The causes of gastrointestinal perforation with collagen diseases have been reported to be functional gastrointestinal disorders with collagen diseases like amyloidosis, gastrointestinal infections in immunocompromised patients, and side effects of medication, such as steroids or NSAIDs and MTX.",,1.0,0.0
389,peanut,allergy,"Peanut allergy that affects 1.4-4.5% of North American children, has increased in prevalence in the past 20 years, is often diagnosed early in life, and outgrown in fewer than 20-32% of children by age 6.",,1.0,0.0
391,flour,diabetes,"Alloxan (ALX), a food-additive, intaken daily through flour causes diabetes and genotoxicity by inducing chromosomal-aberration and DNA-damage.",DOID:9351,1.0,0.0
394,wheat flour,occupational respiratory allergies,Exposure to wheat flour and guar gum is a well-known cause of occupational respiratory allergies among workers in the food processing industry.,,1.0,0.0
396,fruits,allergy,Severe allergy to fruits mediated by a 7 kDa allergen belonging to the gibberellin-regulated protein (GRP) family is known to be associated with Cupressaceae pollinosis.,,1.0,0.0
400,high-salt ( hs ) diets,hypertension,High-salt (HS) diets are associated with hypertension and cardiac remodelling.,DOID:10763,1.0,0.0
415,wheat flour,rhinitis,Sensitization to inhaled wheat flour may lead to occupational rhinitis and/or asthma.,DOID:4483,1.0,0.0
420,cicer arietinum,allergy,Chickpea (Cicer arietinum) allergy has frequently been reported particularly in Spain and India.,,1.0,0.0
421,black rice,hypoglycemic,Cyanidin-3-glucoside (C3G) from black rice was reported to have hypoglycemic effects and an anti-osteoporosis effect in diabetic rats.,,1.0,0.0
423,flour,allergic reactions,Allergic reactions to wheat may be caused by ingestion of wheat containing foods or inhalation of flour (Bakers asthma).,,1.0,0.0
425,ultra-processed foods,cardiovascular disease,A high percentage of total calories from ultra-processed foods has been associated with several cardiovascular disease risk factors.,,1.0,0.0
428,unbalanced diet,neurodegenerative diseases,"In the last decade, several theories investigating the causes of neurodegenerative diseases have been formulated and a condition or risk factor that can contribute is described by the gut-brain axis hypothesis: stress, unbalanced diet, and drugs impact altering microbiota composition which contributes to dysbiosis.",DOID:1289,1.0,0.0
430,flour,respiratory symptoms,Flour mill workers are at high risk of developing respiratory symptoms due to exposure to flour dust in their working environment.,,1.0,0.0
432,diacetyl-containing butter flavor,bronchiolitis obliterans,Diacetyl-containing butter flavor was identified as the cause of an outbreak of bronchiolitis obliterans (BO) and other lung diseases in popcorn-plant workers.,DOID:2799,1.0,0.0
439,ascorbic acids,toxicity,"Antioxidants such as phlorotannins, ascorbic acids, tocopherols, carotenoids from red algae showed toxicity on some cancer cells without side effects.",,1.0,0.0
445,milk,atherosclerosis,Milk is often seen as a potential promotor of atherosclerosis and coronary heart disease because it is a source of cholesterol and saturated fatty acids.,DOID:1936,1.0,0.0
456,milk,allergy,"Although soy is considered a major food allergen (along with milk, egg, peanut, fish, and wheat), the prevalence of soy allergy in the pediatric population is not well defined.",,1.0,0.0
460,wheat flour,baker's asthma,Sensitization to wheat flour plays an important role in the development and diagnosis of baker's asthma.,,1.0,0.0
462,salt,diet- associated health diseases,"In terms of nutrition, a diet high in fat (particularly saturated fat), salt and sugars have shown to be associated with innumerable incidence of diet- associated health diseases.",,1.0,0.0
463,hydrolyzed wheat products,allergy,There are several reports describing allergy to hydrolyzed wheat products.,,1.0,0.0
467,wheat,allergic reaction,"Wheat is a food allergen that occasionally causes a systemic allergic reaction; however, little is known about the quantities of wheat allergen required to evoke allergic symptoms.",,1.0,0.0
468,salt,hypertension,"Excessive salt intake is an important risk factor of diseases such as hypertension, stroke, and stomach cancer.",DOID:10763,1.0,0.0
472,rice milk,hypoalbuminemia,"Although several cases of severe hypoalbuminemia resulting from rice milk have been described in the past, today the use of rice milk without nutritional counseling to treat eczema is still a continuing, poor practice.",,1.0,0.0
475,lamb,asthma,"In China, lamb and fish are well-known triggers for an asthma attack.",DOID:2841,1.0,0.0
476,red meat,atherosclerosis,"Recent evidence has also suggested carnitine from red meat, as a precursor for trimethylamine-N-oxide, which has been shown to cause atherosclerosis, may increase the risk of suffering CVD in experimental animals.",DOID:1936,1.0,0.0
479,wheat flour,allergy,Occupational allergy to components of wheat flour is the main cause of rhinitis and asthma of workers in bakeries and similar activities.,,1.0,0.0
485,butter flavoring vapors,bronchiolitis obliterans,"In 2000, inhalation of butter flavoring vapors was first associated with clinical bronchiolitis obliterans among workers in microwave popcorn production.",DOID:2799,1.0,0.0
492,fruit drinks,asthma,", HFCS-sweetened soda, fruit drinks and apple juice - a high-fructose 100 % juice - are associated with asthma, possibly because of the high fructose:glucose ratios and underlying fructose malabsorption, which may contribute to enteral formation of pro-inflammatory advanced glycation end products, which bind receptors that are mediators of asthma.",DOID:2841,1.0,0.0
497,soybean curd,cognitive impairment,"Paradoxically, the Honolulu Asia Aging Study reported an increased risk for cognitive impairment and other dementia markers with high tofu (soybean curd) intake.",,1.0,0.0
504,cigarette smoke,asthma,Cigarette smoke and secondhand (passive) smoke have been causally related to asthma and lung cancer.,DOID:2841,1.0,0.0
519,flour,bronchitis,"Symptoms suggestive of chronic bronchitis or chronic productive cough were found in 29.0% of 100 workers exposed to flour dust in a flour mill, 26.0% presenting with chronic cough and 29.0% with phlegm.",DOID:6132,1.0,0.0
525,added salt,rhythm disorders,"Saturated fat, added salt, and excessive energy drink consumption appear to be harmful for patients with rhythm disorders.",,1.0,0.0
528,shiitake mushrooms,flagellate dermatitis,Flagellate dermatitis caused by the intake of shiitake mushrooms is characterized by linear erythematous lesions that are intensely pruritic.,DOID:2723,1.0,0.0
531,sugar,chronic diseases,"Epidemiological studies have shown that higher sugar-sweetened beverage consumption is associated with increased risk of developing chronic diseases, including cardiovascular disease, type 2 diabetes mellitus, obesity, non-alcoholic fatty liver disease, gout, and rheumatoid arthritis and to worse symptoms in some patients with rheumatoid arthritis.",,1.0,0.0
533,ultra-processed foods,non-communicable diseases,"There is a causal link between the consumption of ultra-processed foods and a range of non-communicable diseases (NCDs) such as obesity, type 2 diabetes and cancers.",,1.0,0.0
535,poor quality of the diets,anemia,"These findings suggest that in rural China, anemia stems from the poor quality of the diets of infants/toddlers, rather than insufficient quantities of food being consumed.",DOID:2355,1.0,0.0
538,eggplant,oral ulcers,"The most common foods reported as triggers for oral ulcers were eggplant (78.3%), melon (68.3%), walnut (68.2%), and cantaloupe (66.7%).",DOID:9663,1.0,0.0
541,fb1-contaminated corn,neural tube defects,A relationship between maternal ingestion of FB1-contaminated corn during early pregnancy and increased risk for neural tube defects (NTDs) has recently been proposed in human populations around the world where corn is a dietary staple.,DOID:0080074,1.0,0.0
543,sucrose,diabetes,"Chocolate milk is one of the most commonly used non-fermentative dairy products, which, due to high level of sucrose, could lead to diabetes and tooth decay among children.",DOID:9351,1.0,0.0
546,flour,asthmatic reactions,"Bronchial provocation tests by ""occupational"" exposure to flour provoked dual asthmatic reactions accompanied by rhinitis in two atopic bakers engaged in the manufacture of bread and pies.",,1.0,0.0
547,processed foods,hypertension,Increased consumption of processed foods in the modern world has contributed to a high salt intake and thus increased the prevalence of hypertension among Malaysian populations.,DOID:10763,1.0,0.0
570,salt,nutritional reformulation,"Among nutritional reformulation strategies, reductions in caloric density, salt, added sugar, saturated and trans-fats are important in order to reduce the associated risk of developing chronic diseases, including cardiovascular diseases, diabetes and cancer.",,1.0,0.0
576,rice,allergy,"In rice allergy, proteins with molecular masses of 14-16, 26, 33, and 56 kDa have been demonstrated to be potentially allergenic.",,1.0,0.0
578,trans-fatty acids,noncommunicable diseases,"Pakistan is among the nations with a high intake of trans-fatty acids (TFAs), a major dietary risk factor of noncommunicable diseases (NCDs).",,1.0,0.0
587,garlic,asthma,"Twenty-three positive bronchial or nasal challenges were performed on 16 patients (six farmers, six bakery workers, and four food industry workers) and asthma or rhinitis was diagnosed as caused by cereal flour or grain, cow epithelium, storage mites, garlic, or soy dust.",DOID:2841,1.0,0.0
591,sodium consumption,chronic disease,"However, population-level strategies to reduce sodium consumption, such as food product reformulation, modifying food procurement processes, and federal healthy eating policies, are important public health initiatives that can produce meaningful reductions in sodium consumption and help to prevent chronic disease in adulthood.",,1.0,0.0
605,apple juice,asthma,"Intake of beverages with excess free fructose (EFF), including apple juice, and HFCS sweetened fruit drinks and soft drinks, has been associated with asthma in children.",DOID:2841,1.0,0.0
